Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,modularity_class,pageranks,indegree,outdegree,Degree
36,,,11,0.213354,0.226863,114462.507197,0.00414,0,0.000029,3,16,19
37,,,11,0.217271,0.232878,246400.443101,0.009985,0,0.000061,4,41,45
38,,,9,0.24627,0.269906,3138248.981203,0.086772,0,0.000165,25,110,135
39,,,11,0.176982,0.184641,81582.78338,0.025045,0,0.000038,7,5,12
40,,,11,0.174498,0.181174,0,0,0,0.000011,0,2,2
41,,,11,0.202517,0.213125,48212.189193,0.003144,0,0.00003,3,5,8
42,,,0,0,0,0,0.034455,0,0.000104,18,0,18
43,,,10,0.22148,0.237178,659146.972969,0.0289,0,0.000066,10,35,45
44,,,12,0.154738,0.159341,0,0,0,0.000011,0,2,2
45,,,11,0.173771,0.181,0,0,0,0.000011,0,3,3
46,,,10,0.231791,0.250732,1285452.345351,0.092377,0,0.000199,37,52,89
47,,,10,0.176667,0.184012,96563.522455,0.060698,0,0.000063,11,4,15
48,,,11,0.150163,0.154573,209.04178,0.000974,0,0.000013,1,2,3
49,,,11,0.189237,0.198655,11750.201017,0.018367,0,0.000013,2,2,4
50,,,11,0.211724,0.225856,54854.399882,0.003396,0,0.000018,2,28,30
51,,,11,0.197663,0.208727,2917348.978162,0.529788,0,0.001112,101,15,116
52,,,0,0,0,0,0.043957,0,0.00008,3,0,3
53,,,11,0.179141,0.187039,69450.097311,0.002913,0,0.000022,2,4,6
54,,,11,0.197867,0.208546,0,0,0,0.000011,0,11,11
55,,,10,0.224343,0.241792,154170.800777,0.0032,0,0.00002,2,44,46
56,,,11,0.207152,0.220211,1941528.064573,0.350721,0,0.00035,62,19,81
57,,,11,0.20214,0.212525,7288.11168,0.00192,0,0.000016,2,2,4
58,,,11,0.202966,0.216953,925712.954282,0.132005,0,0.000125,23,38,61
59,,,11,0.192844,0.203215,20624.197964,0.002102,0,0.000012,1,8,9
60,,,11,0.201674,0.213069,931885.987722,0.12499,0,0.000354,32,16,48
61,,,12,0.173257,0.180434,0,0,0,0.000011,0,2,2
62,,,13,0.146178,0.150426,29857.168679,0.013206,0,0.000023,6,3,9
63,,,0,0,0,0,0.016888,0,0.000046,5,0,5
64,,,1,1,1,0,0,0,0.000011,0,1,1
65,,,11,0.193803,0.204088,0,0,0,0.000011,0,19,19
66,,,11,0.20288,0.216031,640770.471887,0.112192,0,0.000143,17,20,37
67,,,11,0.173671,0.180842,149218.019187,0.046042,0,0.000138,5,10,15
68,,,11,0.179746,0.188189,0,0,0,0.000011,0,4,4
69,,,0,0,0,0,0.041819,0,0.000109,19,0,19
70,,,11,0.182527,0.191518,0,0,0,0.000011,0,9,9
71,,,11,0.2046,0.217316,197705.247352,0.014891,0,0.000036,5,13,18
72,,,10,0.230179,0.24844,9011680.476436,1,0,0.001269,228,48,276
73,,,10,0.237627,0.257473,919545.849538,0.044168,0,0.000073,10,48,58
74,,,12,0.182375,0.190904,176301.943391,0.068994,0,0.000103,21,7,28
75,,,11,0.171355,0.177806,62333.755618,0.034249,0,0.00009,15,1,16
76,,,12,0.154295,0.159079,0,0,0,0.000011,0,3,3
77,,,11,0.168605,0.17488,0,0,0,0.000011,0,2,2
78,,,11,0.186444,0.195533,62227.91797,0.027147,0,0.000032,6,6,12
79,,,11,0.179164,0.186309,0,0,0,0.000011,0,2,2
80,,,11,0.182098,0.190386,95353.508396,0.039216,0,0.000059,6,7,13
81,,,11,0.176619,0.184371,0,0,0,0.000011,0,10,10
82,,,11,0.169783,0.176489,99220.263756,0.044275,0,0.00002,2,7,9
83,,,12,0.158476,0.163457,0,0,0,0.000011,0,2,2
84,,,10,0.223069,0.238096,59004.405539,0.008776,0,0.00002,3,17,20
85,,,11,0.177318,0.18542,454567.840821,0.197542,0,0.000378,48,7,55
86,,,11,0.211263,0.225801,399524.910818,0.077986,0,0.000088,20,16,36
87,,,12,0.150621,0.155365,0,0,0,0.000011,0,1,1
88,,,10,0.216517,0.230122,1201936.788761,0.209937,0,0.000208,59,32,91
89,,,11,0.169825,0.177249,0,0,0,0.000011,0,13,13
90,,,12,0.160179,0.16572,0,0,0,0.000011,0,2,2
91,,,10,0.225341,0.241501,0,0,0,0.000011,0,27,27
92,,,11,0.200847,0.211941,108566.231052,0.009189,0,0.000028,6,6,12
93,,,11,0.179823,0.188289,68178.187601,0.002726,0,0.000014,2,13,15
94,,,12,0.167265,0.173382,0,0,0,0.000011,0,1,1
95,,,10,0.2295,0.247162,441019.936541,0.009955,0,0.000044,5,45,50
96,,,0,0,0,0,0.227293,0,0.000241,46,0,46
97,,,10,0.236763,0.256175,7519850.769488,0.514781,0,0.000832,110,44,154
98,,,10,0.208881,0.221163,53186.249027,0.002608,26,0.000013,1,8,9
99,,,1,1,1,0,0,0,0.000011,0,1,1
100,,,11,0.19894,0.208979,0,0,0,0.000011,0,11,11
101,,,12,0.149135,0.153778,0,0,0,0.000011,0,3,3
102,,,12,0.18008,0.189052,124145.09091,0.003815,0,0.000019,2,15,17
103,,,1,1,1,0,0,0,0.000011,0,1,1
104,,,11,0.194731,0.20569,92915.844213,0.006963,0,0.00005,7,13,20
105,,,1,1,1,1644.211654,0.087966,0,0.00013,27,1,28
106,,,13,0.143284,0.147466,53948.813863,0.125721,0,0.000086,18,1,19
107,,,12,0.16724,0.174234,102744.126354,0.024921,0,0.00014,9,7,16
108,,,10,0.222637,0.238624,44051.859037,0.002969,0,0.000017,2,20,22
109,,,13,0.143287,0.14747,0,0,0,0.000011,0,1,1
110,,,12,0.1608,0.166696,3382.591502,0.003036,0,0.000019,3,3,6
111,,,11,0.222679,0.237684,26939.3,0.001643,0,0.000018,2,21,23
112,,,11,0.222329,0.236978,399009.660349,0.026996,0,0.000099,10,6,16
113,,,10,0.230865,0.248447,541937.304756,0.023209,0,0.000095,10,32,42
114,,,12,0.155824,0.160871,38536.544836,0.043598,0,0.000089,14,1,15
115,,,10,0.235348,0.255084,0,0,0,0.000011,0,72,72
116,,,10,0.199677,0.211153,24293.518644,0.00114,0,0.000015,1,13,14
117,,,12,0.162035,0.168125,517194.680087,0.166122,0,0.000482,44,4,48
118,,,0,0,0,0,0.08586,0,0.000286,8,0,8
119,,,1,1,1,0,0,0,0.000011,0,1,1
120,,,10,0.224235,0.240691,5526223.492131,0.550908,0,0.000697,135,46,181
121,,,11,0.203993,0.216438,538700.28727,0.055221,0,0.000266,26,16,42
122,,,1,1,1,94.801586,0.009429,0,0.000026,5,1,6
123,,,1,1,1,0,0,0,0.000011,0,1,1
124,,,12,0.156104,0.161119,100497.891772,0.063303,0,0.000168,29,2,31
125,,,11,0.174012,0.180588,268241.83285,0.067237,0,0.000539,16,3,19
126,,,10,0.2435,0.263846,659113.317479,0.017587,0,0.000069,11,49,60
127,,,12,0.152671,0.157796,934310.647429,0.655541,0,0.001334,145,6,151
128,,,11,0.20434,0.217056,0,0,0,0.000011,0,11,11
129,,,10,0.219943,0.23577,286760.10146,0.016445,0,0.000034,8,40,48
130,,,0,0,0,0,0.034365,0,0.000076,11,0,11
131,,,11,0.2031,0.215167,703923.983577,0.119054,0,0.000198,32,16,48
132,,,1,1,1,0,0,0,0.000011,0,2,2
133,,,11,0.19864,0.210167,12602.6052,0.000821,0,0.000016,1,17,18
134,,,11,0.174964,0.182773,59016.941362,0.005946,0,0.000015,3,9,12
135,,,11,0.18248,0.191029,0,0,0,0.000011,0,8,8
136,,,12,0.155491,0.160866,56276.823393,0.004761,0,0.000055,5,4,9
137,,,9,0.238955,0.258111,806643.627014,0.053799,0,0.000095,23,42,65
138,,,14,0.119508,0.121884,0,0,0,0.000011,0,2,2
139,,,1,1,1,0,0,0,0.000011,0,1,1
140,,,11,0.202886,0.214518,162803.408822,0.026623,0,0.000065,13,19,32
141,,,12,0.175391,0.18234,0,0,0,0.000011,0,1,1
142,,,11,0.212681,0.22588,282075.720555,0.022373,0,0.000096,12,18,30
143,,,11,0.183792,0.191905,2155.515945,0.000821,0,0.000015,1,4,5
144,,,11,0.200464,0.212315,0,0,0,0.000011,0,22,22
145,,,11,0.210886,0.22357,20383.050655,0.003438,0,0.000014,3,7,10
146,,,11,0.18166,0.189693,14768.026998,0.001643,0,0.000023,2,6,8
147,,,12,0.149038,0.153303,0,0,0,0.000011,0,2,2
148,,,11,0.199216,0.210181,1073632.914629,0.259251,0,0.000525,68,12,80
149,,,13,0.150028,0.154533,45362.716754,0.05786,0,0.00013,16,3,19
150,,,11,0.16819,0.175197,425.782494,0.000957,0,0.000012,1,8,9
151,,,11,0.181862,0.190647,0,0,0,0.000011,0,8,8
152,,,12,0.159731,0.165382,80408.521808,0.047604,0,0.000129,9,4,13
153,,,11,0.182436,0.191101,219593.809182,0.068757,0,0.000105,16,3,19
154,,,12,0.154298,0.159366,0,0,0,0.000011,0,1,1
155,,,10,0.223128,0.239988,1334148.474282,0.079843,0,0.000199,30,42,72
156,,,10,0.2137,0.228163,1157430.600711,0.117396,0,0.000241,32,32,64
157,,,11,0.20621,0.218644,0,0,0,0.000011,0,13,13
158,,,10,0.219785,0.235084,338257.650721,0.023754,0,0.000064,9,30,39
159,,,11,0.192161,0.202641,180199.627616,0.035308,0,0.000037,6,9,15
160,,,10,0.193045,0.202907,51191.79046,0.012165,0,0.000034,6,12,18
161,,,11,0.176992,0.184809,14471.171341,0.003553,44,0.000017,3,4,7
162,,,11,0.188689,0.198545,13469,0.000821,0,0.000021,1,9,10
163,,,11,0.161819,0.167332,0,0,0,0.000011,0,1,1
164,,,10,0.205782,0.217556,291470.563364,0.047962,0,0.000113,19,8,27
165,,,11,0.202551,0.215256,642614.733034,0.06202,0,0.000216,22,23,45
166,,,10,0.210965,0.224807,456377.875662,0.048596,0,0.000135,13,25,38
167,,,11,0.19751,0.207837,18287.506206,0.002961,0,0.000023,3,6,9
168,,,11,0.184623,0.193182,0,0,0,0.000011,0,4,4
169,,,11,0.173019,0.179767,0,0,0,0.000011,0,2,2
170,,,11,0.170684,0.177113,36008.002083,0.023581,0,0.000045,5,2,7
171,,,11,0.170671,0.177049,1766.679369,0.00487,0,0.000017,3,1,4
172,,,10,0.235929,0.255983,1628931.280158,0.059338,0,0.00016,14,68,82
173,,,11,0.186929,0.195276,0,0,0,0.000011,0,2,2
174,,,10,0.229841,0.247469,381448.101063,0.025224,0,0.000085,18,58,76
175,,,10,0.216069,0.230919,258772.581481,0.008092,0,0.000018,3,22,25
176,,,12,0.175178,0.183168,555829.692444,0.27088,0,0.000348,48,9,57
177,,,11,0.167286,0.173702,406774.637677,0.251372,0,0.000219,42,4,46
178,,,11,0.219099,0.233542,57992.361774,0.00382,0,0.000028,4,11,15
179,,,10,0.220588,0.236933,139786.60949,0.002977,0,0.000023,1,31,32
180,,,11,0.196582,0.207078,0,0,0,0.000011,0,5,5
181,,,12,0.143339,0.147355,0,0,0,0.000011,0,3,3
182,,,12,0.146331,0.150637,0,0,0,0.000011,0,2,2
183,,,10,0.22227,0.238326,732876.559783,0.039117,0,0.000054,11,40,51
184,,,11,0.19431,0.203878,55766.952447,0.012229,0,0.000021,2,4,6
185,,,11,0.200572,0.211834,0,0,0,0.000011,0,14,14
186,,,11,0.17712,0.185219,1518.513015,0.000821,0,0.000013,1,5,6
187,,,13,0.137742,0.141285,236.526902,0.001683,0,0.000014,1,1,2
188,,,11,0.200841,0.211757,139503.284768,0.040455,0,0.000036,7,10,17
189,,,11,0.194512,0.204902,0,0,0,0.000011,0,4,4
190,,,11,0.198117,0.207956,0,0,0,0.000011,0,1,1
191,,,10,0.247047,0.267871,6190103.814125,0.364377,0,0.000652,68,53,121
192,,,10,0.20749,0.219498,344800.878227,0.044935,0,0.000055,4,11,15
193,,,11,0.198117,0.207956,0,0,0,0.000011,0,1,1
194,,,10,0.222395,0.238045,1721070.793349,0.144205,0,0.00022,33,39,72
195,,,11,0.198632,0.20857,0,0,0,0.000011,0,2,2
196,,,10,0.224534,0.24061,2014605.686362,0.219768,0,0.000223,39,26,65
197,,,10,0.218109,0.232185,966837.645079,0.127398,0,0.000174,28,13,41
198,,,10,0.208703,0.22257,376561.21477,0.03671,0,0.000059,8,30,38
199,,,12,0.17247,0.179038,188871.375479,0.099201,0,0.000172,29,1,30
200,,,12,0.176501,0.183966,0,0,0,0.000011,0,5,5
201,,,1,1,1,0,0,0,0.000011,0,1,1
202,,,0,0,0,0,0.00365,0,0.000028,3,0,3
203,,,12,0.171687,0.178209,0,0,0,0.000011,0,2,2
204,,,10,0.210145,0.223232,118197.867711,0.008989,0,0.000032,7,16,23
205,,,10,0.237605,0.256952,0,0,0,0.000011,0,42,42
206,,,11,0.207241,0.220759,2761870.316029,0.431409,0,0.000884,119,26,145
207,,,11,0.204321,0.215658,75922.698894,0.003596,0,0.000017,2,7,9
208,,,11,0.186297,0.195139,10360.559677,0.005804,0,0.000016,2,1,3
209,,,11,0.188443,0.197989,268626.672975,0.041314,0,0.000051,13,15,28
210,,,10,0.210194,0.22483,145103.06284,0.01284,0,0.000029,11,38,49
211,,,11,0.188411,0.197332,265995.853143,0.08726,0,0.00012,26,4,30
212,,,12,0.168489,0.17486,0,0,0,0.000011,0,3,3
213,,,12,0.151528,0.156231,0,0,0,0.000011,0,4,4
214,,,0,0,0,0,0.000821,0,0.000014,1,0,1
215,,,11,0.183961,0.192887,136335.081307,0.068091,44,0.000073,6,2,8
216,,,10,0.215058,0.229874,1383999.736299,0.19391,0,0.000213,28,30,58
217,,,10,0.211435,0.224518,121921.668177,0.013803,0,0.000028,3,13,16
218,,,11,0.222193,0.237036,2114331.516696,0.244998,0,0.000442,60,13,73
219,,,10,0.229508,0.246086,1050713.363574,0.088776,0,0.000118,10,34,44
220,,,12,0.181808,0.189521,1574.35696,0.006178,0,0.000013,1,1,2
221,,,11,0.185742,0.194025,59988.543584,0.00608,0,0.000044,3,5,8
222,,,11,0.183504,0.191496,0,0,0,0.000011,0,3,3
223,,,12,0.193115,0.202355,4794.535304,0.003418,0,0.000015,3,3,6
224,,,11,0.164571,0.17034,31024.250877,0.0026,0,0.000028,3,3,6
225,,,10,0.195146,0.205001,276363.55024,0.052548,0,0.000122,29,3,32
226,,,11,0.166506,0.172739,0,0,0,0.000011,0,3,3
227,,,11,0.178254,0.186366,458096.993123,0.138825,0,0.000338,30,6,36
228,,,10,0.202423,0.214422,157541.629946,0.031412,0,0.000049,14,15,29
229,,,11,0.179583,0.188249,43313.193204,0.019219,0,0.000029,7,8,15
230,,,13,0.137745,0.141287,41.2,0.001121,0,0.000013,1,1,2
231,,,11,0.193442,0.202808,349379.673737,0.061539,0,0.000171,24,11,35
232,,,1,1,1,18268,0.014266,0,0.000029,4,1,5
233,,,10,0.216013,0.230714,493422.81022,0.035378,0,0.000102,14,25,39
234,,,0,0,0,0,0.006072,0,0.000046,3,0,3
235,,,14,0.131187,0.134372,0,0,0,0.000011,0,2,2
236,,,11,0.203675,0.21545,0,0,0,0.000011,0,6,6
237,,,10,0.221867,0.239308,1069977.198707,0.034403,0,0.000116,11,57,68
238,,,12,0.170375,0.176942,712195.614371,0.518502,0,0.000882,97,3,100
239,,,10,0.219302,0.234657,248167.373656,0.01896,0,0.000029,9,21,30
240,,,12,0.168827,0.174994,88515.60223,0.031092,0,0.000119,5,1,6
241,,,11,0.199798,0.210906,896634.976702,0.204282,0,0.000308,33,7,40
242,,,11,0.1985,0.210016,209265.757433,0.018448,0,0.000056,8,10,18
243,,,11,0.194529,0.204651,62613.081887,0.005902,0,0.000027,3,6,9
244,,,12,0.16286,0.168548,0,0,0,0.000011,0,1,1
245,,,10,0.192554,0.201696,37389.069408,0.008726,0,0.000032,4,2,6
246,,,10,0.215302,0.229579,1898059.116629,0.181549,0,0.000543,64,14,78
247,,,10,0.2039,0.215659,866377.499732,0.109674,0,0.000302,22,8,30
248,,,11,0.177568,0.185298,0,0,0,0.000011,0,4,4
249,,,10,0.227239,0.244052,586501.735254,0.033872,0,0.000064,9,33,42
250,,,11,0.17717,0.184615,0,0,0,0.000011,0,1,1
251,,,11,0.211429,0.225202,251623.27811,0.021475,0,0.000038,5,18,23
252,,,11,0.194156,0.204892,950302.504698,0.175808,0,0.000263,47,14,61
253,,,11,0.227136,0.244766,223455.737648,0.004263,0,0.000029,3,52,55
254,,,10,0.26107,0.285474,0,0,0,0.000011,0,95,95
255,,,0,0,0,0,0.000821,0,0.000012,1,0,1
256,,,11,0.183021,0.191108,8569.936586,0.017529,0,0.000025,5,2,7
257,,,10,0.22136,0.237093,330576.452752,0.0247,0,0.000069,13,23,36
258,,,11,0.189304,0.198337,0,0,0,0.000011,0,4,4
259,,,11,0.192869,0.202608,0,0,0,0.000011,0,7,7
260,,,10,0.223866,0.239964,340401.503531,0.019163,0,0.00003,5,39,44
261,,,0,0,0,0,0.124887,0,0.000271,23,0,23
262,,,1,1,1,1,0.000821,0,0.000014,1,1,2
263,,,13,0.154077,0.159297,0,0,0,0.000011,0,2,2
264,,,12,0.182113,0.191011,314340.735118,0.077099,0,0.000223,29,3,32
265,,,11,0.180808,0.189359,2025.871013,0.001923,0,0.000014,1,6,7
266,,,12,0.200113,0.212534,0,0,0,0.000011,0,21,21
267,,,11,0.19613,0.206191,7881.753559,0.000821,0,0.000013,1,3,4
268,,,12,0.176576,0.183739,118913.054813,0.014791,0,0.000103,6,1,7
269,,,11,0.202389,0.213925,76378.173361,0.007073,0,0.000022,2,13,15
270,,,13,0.151185,0.156,24889.114107,0.017792,0,0.000033,1,7,8
271,,,13,0.150086,0.1544,0,0,0,0.000011,0,1,1
272,,,13,0.150095,0.154463,79659.116778,0.052459,0,0.000113,6,2,8
273,,,10,0.233067,0.250561,200331.823928,0.00911,0,0.000019,4,26,30
274,,,10,0.27303,0.303374,10980490.488692,0.258411,0,0.000315,64,163,227
275,,,12,0.144012,0.148325,53828.683784,0.080083,0,0.000076,13,4,17
276,,,13,0.125892,0.128696,324.757041,0.003922,0,0.000015,2,1,3
277,,,10,0.236975,0.256018,3298378.585067,0.199513,0,0.000373,62,57,119
278,,,10,0.227658,0.244062,91699.289446,0.005091,0,0.000014,3,27,30
279,,,11,0.181721,0.18996,0,0,0,0.000011,0,4,4
280,,,11,0.190816,0.20039,206803.798927,0.052627,0,0.000086,15,9,24
281,,,10,0.221955,0.237125,1683562.910692,0.120339,0,0.00026,41,30,71
282,,,11,0.198936,0.209733,27421.311839,0.005703,0,0.000027,3,10,13
283,,,12,0.183848,0.192561,41200.777365,0.004613,0,0.000013,1,4,5
284,,,14,0.129866,0.132709,211058.5158,0.440792,0,0.000465,60,2,62
285,,,11,0.2199,0.236026,303163.585507,0.01549,0,0.000033,6,46,52
286,,,10,0.249352,0.272122,3493149.224358,0.141935,0,0.000152,30,89,119
287,,,15,0.114947,0.116936,0,0,0,0.000011,0,1,1
288,,,11,0.20067,0.211628,136753.154024,0.02316,0,0.000056,4,15,19
289,,,0,0,0,0,0.030759,0,0.000067,10,0,10
290,,,11,0.187219,0.196692,82146.844634,0.010988,0,0.000034,8,19,27
291,,,11,0.194036,0.204504,0,0,0,0.000011,0,6,6
292,,,10,0.207327,0.219715,0,0,0,0.000011,0,6,6
293,,,1,1,1,0,0,0,0.000011,0,1,1
294,,,11,0.185563,0.19489,805398.228134,0.210672,0,0.000424,57,16,73
295,,,11,0.207264,0.220017,72848.364213,0.010276,0,0.000044,6,13,19
296,,,1,1,1,0,0,0,0.000011,0,1,1
297,,,12,0.170218,0.177441,0,0,0,0.000011,0,6,6
298,,,11,0.193656,0.204709,33178.715786,0.003215,0,0.000013,1,10,11
299,,,10,0.201309,0.212756,716182.690632,0.046511,0,0.000151,12,22,34
300,,,11,0.190824,0.200847,216107.39955,0.024708,0,0.000081,9,9,18
301,,,13,0.153019,0.158017,14444.570296,0.006661,0,0.000026,4,3,7
302,,,12,0.180616,0.189021,113697.524375,0.047161,0,0.00007,13,3,16
303,,,10,0.208842,0.221504,1236606.918663,0.282867,0,0.000278,42,17,59
304,,,10,0.20742,0.21979,243316.487454,0.039053,0,0.000043,6,16,22
305,,,10,0.214979,0.22889,333224.173679,0.027537,0,0.000114,18,13,31
306,,,10,0.230234,0.246705,26187.637175,0.001643,0,0.000026,2,34,36
307,,,13,0.143714,0.147918,47594.870745,0.023277,0,0.000049,10,2,12
308,,,11,0.185314,0.194545,0,0,0,0.000011,0,10,10
309,,,10,0.218363,0.233174,874495.974234,0.112191,0,0.00011,20,21,41
310,,,11,0.178619,0.186945,0,0,0,0.000011,0,12,12
311,,,0,0,0,0,0.043136,0,0.000077,19,0,19
312,,,10,0.217366,0.231398,163373.326641,0.027475,0,0.00003,9,12,21
313,,,11,0.199331,0.211343,91980.059524,0.00264,0,0.000017,2,33,35
314,,,11,0.207494,0.220491,190708.69667,0.007389,0,0.00004,2,20,22
315,,,10,0.226163,0.241852,167124.537551,0.010423,0,0.000028,3,23,26
316,,,10,0.216684,0.230993,897163.851147,0.114584,0,0.00017,26,18,44
317,,,0,0,0,0,0.01024,0,0.000019,1,0,1
318,,,11,0.186215,0.195686,1948.470147,0.001938,0,0.000013,2,15,17
319,,,0,0,0,0,0.018445,0,0.000034,5,0,5
320,,,11,0.209508,0.223706,305301.252547,0.029004,0,0.000035,6,21,27
321,,,10,0.213693,0.226552,1044182.758681,0.106707,0,0.000259,29,13,42
322,,,10,0.236575,0.256523,549646.183224,0.009977,0,0.000034,4,53,57
323,,,10,0.224324,0.241284,0,0,0,0.000011,0,25,25
324,,,10,0.204287,0.217582,426298.250922,0.057298,0,0.000098,23,12,35
325,,,10,0.205327,0.217154,49577.072212,0.01156,0,0.000026,2,3,5
326,,,0,0,0,0,0.105551,0,0.00012,21,0,21
327,,,13,0.15712,0.162331,79349.17473,0.018871,0,0.000059,10,5,15
328,,,11,0.192348,0.202874,144601.465262,0.017715,0,0.000018,2,8,10
329,,,11,0.190017,0.199683,226522.883365,0.048128,0,0.000071,3,9,12
330,,,10,0.222134,0.238402,468366.231086,0.016891,0,0.000072,6,40,46
331,,,9,0.25264,0.276913,5079989.106338,0.216689,0,0.000227,42,115,157
332,,,11,0.192315,0.20204,473753.643677,0.161025,0,0.000117,20,7,27
333,,,11,0.222542,0.239012,1014308.988604,0.087909,0,0.000107,9,38,47
334,,,10,0.240573,0.259724,1053610.096265,0.038591,0,0.000111,13,52,65
335,,,11,0.217668,0.232846,2431844.354601,0.265606,0,0.000401,55,39,94
336,,,10,0.233917,0.252119,338320.655641,0.028915,0,0.000047,11,30,41
337,,,11,0.187126,0.196314,45520.929667,0.004383,0,0.000017,2,6,8
338,,,11,0.190706,0.20055,29506.64422,0.001915,0,0.00002,2,10,12
339,,,11,0.171194,0.178379,54279.142726,0.017794,0,0.000053,10,6,16
340,,,12,0.164892,0.170936,0,0,0,0.000011,0,4,4
341,,,1,1,1,0,0,0,0.000011,0,1,1
342,,,11,0.18364,0.191498,6361.592741,0.005371,0,0.000017,3,2,5
343,,,12,0.160843,0.166609,0,0,0,0.000011,0,4,4
344,,,10,0.21593,0.229643,83508.346261,0.006735,0,0.000018,4,16,20
345,,,1,1,1,0,0,0,0.000011,0,1,1
346,,,1,1,1,18273,0.027104,0,0.000137,11,1,12
347,,,0,0,0,0,0.004186,0,0.000134,2,0,2
348,,,12,0.170786,0.177495,129372.283738,0.015963,0,0.000049,1,2,3
349,,,0,0,0,0,0.050923,0,0.000138,15,0,15
350,,,1,1,1,84.146584,0.005007,0,0.000027,3,1,4
351,,,12,0.171685,0.178835,0,0,0,0.000011,0,2,2
352,,,11,0.193107,0.203727,446.061181,0.002086,0,0.000012,2,13,15
353,,,11,0.187718,0.196921,83749.84333,0.025917,0,0.000079,8,4,12
354,,,0,0,0,0,0.252665,0,0.000379,51,0,51
355,,,12,0.165436,0.171535,0,0,0,0.000011,0,2,2
356,,,9,0.241604,0.262046,6488562.703763,0.402572,0,0.000471,101,61,162
357,,,12,0.16297,0.169224,0,0,0,0.000011,0,4,4
358,,,10,0.207171,0.219751,0,0,0,0.000011,0,11,11
359,,,0,0,0,0,0.005235,0,0.000017,4,0,4
360,,,13,0.153982,0.159333,20973.913914,0.013299,0,0.000018,2,8,10
361,,,0,0,0,0,0.13995,0,0.000154,14,1,15
362,,,11,0.193361,0.20353,84920.187022,0.040295,0,0.000036,10,9,19
363,,,10,0.19229,0.202486,192040.024174,0.02528,0,0.000092,10,13,23
364,,,10,0.216984,0.231824,2153751.77044,0.265913,0,0.000388,67,30,97
365,,,11,0.195509,0.20558,350469.442147,0.097364,0,0.000154,29,9,38
366,,,12,0.177369,0.185594,8871.735279,0.004392,0,0.000023,3,3,6
367,,,12,0.178438,0.186054,1435.758209,0.001931,0,0.000014,2,3,5
368,,,11,0.203869,0.216581,603887.028496,0.067152,0,0.000135,20,23,43
369,,,14,0.121694,0.124197,13469,0.000821,0,0.000021,1,3,4
370,,,11,0.199754,0.211259,309457.976147,0.059587,0,0.000114,13,9,22
371,,,12,0.168736,0.175261,356800.583958,0.133755,0,0.000287,48,8,56
372,,,13,0.149998,0.154586,127608.964826,0.006454,26,0.000099,2,3,5
373,,,13,0.144403,0.148457,0,0,0,0.000011,0,3,3
374,,,11,0.189099,0.199734,184974.713679,0.028663,0,0.000071,7,19,26
