Source Target Type Id Label timeset weight timestamp
71 72 Directed 58  <[1225430845.0]> 1 1225430845
7499 72 Directed 10735  <[1225491657.0]> 1 1225491657
7500 72 Directed 10736  <[1225523625.0]> 1 1225523625
72 8154 Directed 11978  <[1225528406.0]> 1 1225528406
72 5910 Directed 13239  <[1225544223.0]> 1 1225544223
4471 72 Directed 13293  <[1225547729.0]> 1 1225547729
8797 72 Directed 13294  <[1225552740.0]> 1 1225552740
8798 72 Directed 13295  <[1225565432.0]> 1 1225565432
8801 72 Directed 13301  <[1225563251.0]> 1 1225563251
8802 72 Directed 13302  <[1225566876.0]> 1 1225566876
7 72 Directed 13655  <[1225549266.0]> 1 1225549266
72 176 Directed 13881  <[1225581975.0]> 1 1225581975
9137 72 Directed 14748  <[1225564741.0]> 1 1225564741
3182 72 Directed 14749  <[1225620482.0]> 1 1225620482
9446 72 Directed 14750  <[1225622724.0]> 1 1225622724
10004 72 Directed 16061  <[1225624924.0]> 1 1225624924
2000 72 Directed 16421  <[1225587184.0]> 1 1225587184
1800 72 Directed 16422  <[1225587198.0]> 1 1225587198
3556 72 Directed 16423  <[1225589528.0]> 1 1225589528
9161 72 Directed 16424  <[1225590046.0]> 1 1225590046
1097 72 Directed 16425  <[1225591102.0]> 1 1225591102
1633 72 Directed 16426  <[1225598535.0]> 1 1225598535
9595 72 Directed 16427  <[1225609363.0]> 1 1225609363
10180 72 Directed 16428  <[1225609556.0]> 1 1225609556
6398 72 Directed 16429  <[1225629882.0]> 1 1225629882
10185 72 Directed 16457  <[1225588236.0]> 1 1225588236
8462 72 Directed 16458  <[1225590894.0]> 1 1225590894
10194 72 Directed 16459  <[1225602150.0]> 1 1225602150
10201 72 Directed 16475  <[1225590791.0]> 1 1225590791
10209 72 Directed 16491  <[1225594395.0]> 1 1225594395
91 72 Directed 16492  <[1225627183.0]> 1 1225627183
4008 72 Directed 16493  <[1225628481.0]> 1 1225628481
5355 72 Directed 16494  <[1226435599.0]> 2 1226435599
10210 72 Directed 16495  <[1225630625.0]> 1 1225630625
10211 72 Directed 16496  <[1225631696.0]> 1 1225631696
7440 72 Directed 16497  <[1225632007.0]> 1 1225632007
10212 72 Directed 16498  <[1225633511.0]> 1 1225633511
320 72 Directed 16499  <[1225688813.0]> 1 1225688813
9799 72 Directed 16503  <[1225630674.0]> 1 1225630674
7558 72 Directed 16504  <[1226432477.0]> 2 1226432477
10215 72 Directed 16505  <[1225659071.0]> 1 1225659071
72 3505 Directed 17517  <[1225627580.0]> 1 1225627580
72 3462 Directed 17555  <[1225614429.0]> 1 1225614429
72 815 Directed 19245  <[1225649514.0]> 1 1225649514
3898 72 Directed 19334  <[1225655941.0]> 1 1225655941
3455 72 Directed 19335  <[1225658683.0]> 1 1225658683
11959 72 Directed 20502  <[1225650368.0]> 1 1225650368
8512 72 Directed 20503  <[1225651090.0]> 1 1225651090
8440 72 Directed 20504  <[1225651404.0]> 1 1225651404
12273 72 Directed 21300  <[1225659002.0]> 1 1225659002
12274 72 Directed 21301  <[1225660792.0]> 1 1225660792
72 800 Directed 21615  <[1225663162.0]> 1 1225663162
72 2698 Directed 22111  <[1225670012.0]> 1 1225670012
2195 72 Directed 22149  <[1226445380.0]> 2 1226445380
72 13459 Directed 24162  <[1225716461.0]> 1 1225716461
1635 72 Directed 24582  <[1225731789.0]> 1 1225731789
13626 72 Directed 24629  <[1225723614.0]> 1 1225723614
13627 72 Directed 24630  <[1225725923.0]> 1 1225725923
13628 72 Directed 24631  <[1225743926.0]> 1 1225743926
1999 72 Directed 25653  <[1225717493.0]> 1 1225717493
8143 72 Directed 25696  <[1225723646.0]> 1 1225723646
14890 72 Directed 28090  <[1225748354.0]> 1 1225748354
2045 72 Directed 28091  <[1225763917.0]> 1 1225763917
157 72 Directed 28092  <[1225784124.0]> 1 1225784124
15226 72 Directed 29112  <[1225804246.0]> 1 1225804246
3409 72 Directed 29113  <[1225758030.0]> 1 1225758030
15227 72 Directed 29114  <[1225819986.0]> 2 1225819986
6875 72 Directed 29115  <[1225809243.0]> 1 1225809243
8813 72 Directed 32856  <[1225802996.0]> 1 1225802996
1148 72 Directed 32963  <[1225812964.0]> 1 1225812964
16583 72 Directed 32964  <[1225812997.0]> 1 1225812997
1335 72 Directed 32965  <[1225831298.0]> 2 1225831298
1804 72 Directed 33014  <[1225810249.0]> 1 1225810249
16607 72 Directed 33015  <[1225824322.0]> 1 1225824322
72 11333 Directed 39488  <[1225975189.0]> 1 1225975189
4403 72 Directed 43176  <[1225998131.0]> 1 1225998131
3047 72 Directed 43177  <[1225998708.0]> 1 1225998708
46 72 Directed 43178  <[1226038597.0]> 1 1226038597
19771 72 Directed 43179  <[1226153522.0]> 1 1226153522
4065 72 Directed 43183  <[1225974456.0]> 1 1225974456
5489 72 Directed 43184  <[1226316935.0]> 1 1226316935
3890 72 Directed 43490  <[1225937239.0]> 1 1225937239
4211 72 Directed 43491  <[1225945111.0]> 1 1225945111
792 72 Directed 43492  <[1225945354.0]> 1 1225945354
13866 72 Directed 43563  <[1225958499.0]> 1 1225958499
19061 72 Directed 43564  <[1225961429.0]> 1 1225961429
4198 72 Directed 43565  <[1225969801.0]> 1 1225969801
166 72 Directed 43566  <[1225971837.0]> 1 1225971837
19890 72 Directed 43567  <[1225973903.0]> 1 1225973903
5951 72 Directed 43568  <[1226344743.0]> 1 1226344743
72 20207 Directed 44651  <[1225971141.0]> 1 1225971141
72 5461 Directed 45057  <[1226014982.0]> 1 1226014982
72 21070 Directed 47808  <[1225988465.0]> 1 1225988465
4496 72 Directed 47880  <[1225989946.0]> 1 1225989946
8280 72 Directed 47881  <[1225990151.0]> 1 1225990151
5382 72 Directed 47979  <[1225990125.0]> 1 1225990125
905 72 Directed 47980  <[1225990133.0]> 1 1225990133
21122 72 Directed 47981  <[1226054891.0]> 1 1226054891
21124 72 Directed 47991  <[1226064354.0]> 1 1226064354
356 72 Directed 48019  <[1225991338.0]> 1 1225991338
3767 72 Directed 48020  <[1226029192.0]> 1 1226029192
7098 72 Directed 48021  <[1226029794.0]> 1 1226029794
179 72 Directed 48022  <[1226032245.0]> 1 1226032245
18880 72 Directed 48023  <[1226045845.0]> 1 1226045845
19863 72 Directed 48690  <[1226028170.0]> 1 1226028170
72 21350 Directed 48754  <[1225999049.0]> 1 1225999049
72 1023 Directed 48908  <[1225999996.0]> 1 1225999996
21459 72 Directed 49065  <[1226001730.0]> 1 1226001730
15024 72 Directed 49066  <[1226002919.0]> 1 1226002919
20486 72 Directed 49067  <[1226003787.0]> 1 1226003787
72 5225 Directed 50011  <[1226015403.0]> 1 1226015403
72 3179 Directed 50046  <[1226015099.0]> 1 1226015099
72 5480 Directed 50064  <[1226015487.0]> 1 1226015487
72 2525 Directed 50094  <[1226015161.0]> 1 1226015161
2574 72 Directed 50179  <[1226017083.0]> 1 1226017083
72 19032 Directed 54790  <[1226139755.0]> 1 1226139755
72 10252 Directed 55388  <[1226081142.0]> 1 1226081142
9519 72 Directed 55573  <[1226089120.0]> 1 1226089120
23187 72 Directed 55574  <[1226125442.0]> 1 1226125442
72 5889 Directed 55761  <[1226139562.0]> 1 1226139562
72 6017 Directed 55921  <[1226231657.0]> 1 1226231657
3964 72 Directed 55998  <[1226089481.0]> 1 1226089481
476 72 Directed 55999  <[1226091490.0]> 1 1226091490
767 72 Directed 56113  <[1226091180.0]> 1 1226091180
21337 72 Directed 56114  <[1226091526.0]> 1 1226091526
3436 72 Directed 56115  <[1226092861.0]> 1 1226092861
23322 72 Directed 56116  <[1226094952.0]> 1 1226094952
870 72 Directed 56117  <[1226116362.0]> 1 1226116362
458 72 Directed 56118  <[1226127805.0]> 1 1226127805
23310 72 Directed 56151  <[1226093642.0]> 1 1226093642
6850 72 Directed 56152  <[1226096188.0]> 1 1226096188
14728 72 Directed 56153  <[1226121068.0]> 1 1226121068
11199 72 Directed 56154  <[1226269747.0]> 1 1226269747
353 72 Directed 56177  <[1226092353.0]> 1 1226092353
3042 72 Directed 56179  <[1226093352.0]> 1 1226093352
72 12371 Directed 56368  <[1226184395.0]> 1 1226184395
72 332 Directed 57492  <[1226139895.0]> 1 1226139895
18189 72 Directed 58278  <[1226143318.0]> 1 1226143318
72 13273 Directed 58542  <[1226146944.0]> 1 1226146944
72 23920 Directed 58572  <[1226146855.0]> 1 1226146855
72 19625 Directed 61080  <[1226183895.0]> 1 1226183895
6282 72 Directed 61317  <[1226210268.0]> 1 1226210268
3797 72 Directed 61350  <[1226404492.0]> 2 1226404492
72 390 Directed 61687  <[1226255966.0]> 1 1226255966
72 5447 Directed 61885  <[1226274410.0]> 1 1226274410
72 21358 Directed 62520  <[1226229575.0]> 1 1226229575
72 3163 Directed 63343  <[1226231759.0]> 1 1226231759
247 72 Directed 65689  <[1226256727.0]> 1 1226256727
7953 72 Directed 65690  <[1226256954.0]> 1 1226256954
4682 72 Directed 65691  <[1226321778.0]> 1 1226321778
407 72 Directed 65869  <[1226267920.0]> 1 1226267920
623 72 Directed 67308  <[1226313217.0]> 1 1226313217
3 72 Directed 67309  <[1226313590.0]> 1 1226313590
2014 72 Directed 67310  <[1226313716.0]> 1 1226313716
15423 72 Directed 67311  <[1226318836.0]> 1 1226318836
25960 72 Directed 67312  <[1226345276.0]> 1 1226345276
474 72 Directed 67313  <[1226350478.0]> 1 1226350478
72 5353 Directed 70827  <[1226324288.0]> 1 1226324288
72 3164 Directed 70975  <[1226347157.0]> 1 1226347157
72 27184 Directed 73039  <[1226346961.0]> 1 1226346961
5962 72 Directed 73575  <[1226401753.0]> 1 1226401753
6044 72 Directed 73576  <[1226401868.0]> 1 1226401868
24231 72 Directed 73577  <[1226403208.0]> 1 1226403208
1491 72 Directed 73578  <[1226403250.0]> 1 1226403250
267 72 Directed 73580  <[1226404635.0]> 1 1226404635
27302 72 Directed 73581  <[1226407750.0]> 1 1226407750
27303 72 Directed 73582  <[1226412608.0]> 1 1226412608
4309 72 Directed 73583  <[1226414374.0]> 1 1226414374
7532 72 Directed 73584  <[1226414817.0]> 1 1226414817
25443 72 Directed 73585  <[1226417510.0]> 1 1226417510
9261 72 Directed 73586  <[1226421504.0]> 1 1226421504
6733 72 Directed 73587  <[1226421784.0]> 1 1226421784
9656 72 Directed 73588  <[1226423833.0]> 1 1226423833
24272 72 Directed 73589  <[1226426587.0]> 1 1226426587
11053 72 Directed 73590  <[1226427517.0]> 1 1226427517
451 72 Directed 73591  <[1226429909.0]> 1 1226429909
9638 72 Directed 73593  <[1226435636.0]> 2 1226435636
2761 72 Directed 73595  <[1226442498.0]> 1 1226442498
3034 72 Directed 73596  <[1226447464.0]> 1 1226447464
27304 72 Directed 73597  <[1226459518.0]> 1 1226459518
3348 72 Directed 73598  <[1226489091.0]> 1 1226489091
11439 72 Directed 73612  <[1226384160.0]> 1 1226384160
24108 72 Directed 73613  <[1226390170.0]> 1 1226390170
21853 72 Directed 73614  <[1226407139.0]> 1 1226407139
873 72 Directed 73634  <[1226346045.0]> 1 1226346045
7947 72 Directed 73635  <[1226359216.0]> 1 1226359216
4138 72 Directed 73847  <[1226356821.0]> 1 1226356821
72 19758 Directed 73934  <[1226346752.0]> 1 1226346752
2327 72 Directed 74057  <[1226349629.0]> 1 1226349629
663 72 Directed 74503  <[1226379072.0]> 1 1226379072
3098 72 Directed 74504  <[1226390536.0]> 1 1226390536
5670 72 Directed 74505  <[1226393911.0]> 2 1226393911
20277 72 Directed 74506  <[1226399416.0]> 1 1226399416
27490 72 Directed 74507  <[1226405066.0]> 1 1226405066
1377 72 Directed 75012  <[1226358573.0]> 1 1226358573
5451 72 Directed 75013  <[1226381351.0]> 1 1226381351
6251 72 Directed 75015  <[1226401574.0]> 1 1226401574
4457 72 Directed 75016  <[1226407582.0]> 1 1226407582
907 72 Directed 75017  <[1226408085.0]> 1 1226408085
4079 72 Directed 75018  <[1226422699.0]> 1 1226422699
72 56 Directed 75032  <[1226363146.0]> 1 1226363146
3071 72 Directed 82064  <[1226487298.0]> 1 1226487298
6849 72 Directed 82065  <[1226492869.0]> 1 1226492869
2096 72 Directed 82066  <[1226495759.0]> 1 1226495759
20334 72 Directed 82067  <[1226502121.0]> 1 1226502121
17099 72 Directed 82068  <[1226529783.0]> 2 1226529783
29223 72 Directed 82069  <[1226529564.0]> 1 1226529564
72 1141 Directed 86818  <[1226515791.0]> 1 1226515791
3326 72 Directed 87344  <[1226530287.0]> 1 1226530287
